index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type,,,player,play_pattern,type,combination,Area on the pitch 
142,05:10.9,5,10,Denmark,Andreas Evald Cornelius,From Throw In,Pass,9,,,,Andreas Evald Cornelius,From Throw In,Pass,,
143,05:11.7,5,11,Denmark,Christian Dannemann Eriksen,From Throw In,Ball Receipt*,9,,,,Christian Dannemann Eriksen,From Throw In,Ball Receipt*,,
144,05:11.7,5,11,Denmark,Christian Dannemann Eriksen,From Throw In,Carry,9,,,,Christian Dannemann Eriksen,From Throw In,Carry,,
145,05:12.7,5,12,Denmark,Christian Dannemann Eriksen,From Throw In,Pass,9,,,,Christian Dannemann Eriksen,From Throw In,Pass,,
146,05:15.0,5,14,Denmark,Martin Braithwaite Christensen,From Throw In,Ball Receipt*,9,,,,Martin Braithwaite Christensen,From Throw In,Ball Receipt*,,
147,05:15.0,5,14,Croatia,Dejan Lovren,From Throw In,Pass,9,,,,Dejan Lovren,From Throw In,Pass,,
148,05:16.5,5,16,Croatia,Luka Modrić,From Throw In,Ball Receipt*,9,,,,Luka Modrić,From Throw In,Ball Receipt*,,
149,05:16.5,5,16,Croatia,Luka Modrić,From Throw In,Carry,9,,,,Luka Modrić,From Throw In,Carry,,
150,05:17.8,5,17,Denmark,Thomas Delaney,From Throw In,Pressure,9,,,,Thomas Delaney,From Throw In,Pressure,,
151,05:20.9,5,20,Croatia,Luka Modrić,From Throw In,Pass,9,,,,Luka Modrić,From Throw In,Pass,,
152,05:23.1,5,23,Croatia,Ante Rebić,From Throw In,Ball Receipt*,9,,,,Ante Rebić,From Throw In,Ball Receipt*,,
153,05:23.1,5,23,Denmark,Jonas Knudsen,From Throw In,Ball Recovery,9,,,,Jonas Knudsen,From Throw In,Ball Recovery,,
154,05:23.1,5,23,Denmark,Jonas Knudsen,From Throw In,Carry,9,,,,Jonas Knudsen,From Throw In,Carry,,
155,05:23.7,5,23,Denmark,Jonas Knudsen,From Throw In,Pass,9,,,,Jonas Knudsen,From Throw In,Pass,,
156,05:25.0,5,25,Denmark,Simon Thorup Kjær,From Throw In,Ball Receipt*,9,,,,Simon Thorup Kjær,From Throw In,Ball Receipt*,,
157,05:25.0,5,25,Denmark,Simon Thorup Kjær,From Throw In,Carry,9,,,,Simon Thorup Kjær,From Throw In,Carry,,
158,05:28.7,5,28,Croatia,Ivan Rakitić,From Throw In,Pressure,9,,,,Ivan Rakitić,From Throw In,Pressure,,
159,05:29.2,5,29,Denmark,Simon Thorup Kjær,From Throw In,Pass,9,,,,Simon Thorup Kjær,From Throw In,Pass,,
160,05:30.8,5,30,Denmark,Kasper Schmeichel,From Throw In,Ball Receipt*,9,,,,Kasper Schmeichel,From Throw In,Ball Receipt*,,
